N,P_frac,theta_pct_eixoP
338.743,0.6847,2.387
342.819,0.6784,2.638
346.944,0.6709,2.889
351.119,0.6658,3.015
355.344,0.6583,3.266
359.62,0.6545,3.518
363.948,0.6520,3.643
368.327,0.6445,3.894
372.759,0.6394,4.146
377.245,0.6332,4.271
381.784,0.6307,4.397
386.379,0.6231,4.774
391.028,0.6206,4.899
395.733,0.6168,5.151
400.495,0.6118,5.276
405.315,0.6080,5.653
410.192,0.6030,5.779
415.128,0.5992,5.779
420.123,0.5967,5.905
425.179,0.5930,6.156
430.295,0.5905,6.281
435.473,0.5867,6.407
440.713,0.5842,6.533
446.016,0.5817,6.658
451.383,0.5804,6.784
456.815,0.5779,6.910
462.312,0.5754,7.035
467.875,0.5741,7.161
473.505,0.5716,7.161
479.203,0.5704,7.161
484.969,0.5691,7.286
490.805,0.5678,7.286
496.711,0.5653,7.412
502.688,0.5653,7.412
508.737,0.5628,7.412
514.859,0.5628,7.663
521.054,0.5578,7.789
527.324,0.5565,7.663
533.67,0.5528,7.915
540.092,0.5528,8.040
546.591,0.5515,8.040
553.168,0.5503,8.166
559.825,0.5477,8.291
566.561,0.5465,8.417
573.379,0.5440,8.417
580.278,0.5427,8.417
587.261,0.5427,8.543
594.328,0.5402,8.668
601.479,0.5389,8.668
608.717,0.5377,8.920
616.042,0.5352,8.920
623.455,0.5339,9.045
630.957,0.5327,9.171
638.55,0.5314,9.296
646.234,0.5302,9.171
654.01,0.5289,9.422
661.88,0.5276,9.673
669.845,0.5276,9.548
677.905,0.5264,9.673
686.062,0.5264,9.799
694.318,0.5239,9.925
702.673,0.5214,9.925
711.128,0.5214,10.176
719.686,0.5188,10.176
728.346,0.5188,10.302
737.11,0.5188,10.302
745.98,0.5151,10.427
754.957,0.5151,10.427
764.041,0.5126,10.678
773.235,0.5138,10.678
782.54,0.5126,10.804
791.956,0.5101,10.930
801.486,0.5088,11.055
811.131,0.5063,11.181
820.891,0.5050,11.181
830.769,0.5038,11.307
840.766,0.5038,11.432
850.884,0.5013,11.307
861.122,0.5013,11.432
871.485,0.4975,11.432
881.971,0.4962,11.683
892.585,0.4962,11.683
903.325,0.4962,11.809
914.195,0.4950,11.809
925.196,0.4937,11.809
936.329,0.4912,11.935
947.596,0.4899,11.935
958.999,0.4899,12.060
970.539,0.4887,12.060
982.218,0.4887,12.060
994.037,0.4874,12.060
1006,0.4849,12.186
1018.1,0.4824,12.186
1030.36,0.4824,12.186
1042.75,0.4824,12.437
1055.3,0.4799,12.563
1068,0.4786,12.563
1080.85,0.4786,12.563
1093.86,0.4774,12.688
1107.02,0.4761,12.688
1120.34,0.4761,12.814
1133.82,0.4736,12.814
1147.47,0.4724,12.940
1161.27,0.4711,13.065
1175.25,0.4673,13.191
1189.39,0.4661,13.191
1203.7,0.4661,13.191
1218.19,0.4623,13.317
1232.85,0.4598,13.317
1247.68,0.4598,13.317
1262.7,0.4573,13.442
1277.89,0.4560,13.442
1293.27,0.4560,13.442
1308.83,0.4560,13.568
1324.58,0.4548,13.568
1340.52,0.4535,13.693
1356.65,0.4523,13.693
1372.97,0.4535,13.819
1389.5,0.4523,13.945
1406.22,0.4510,13.945
1423.14,0.4497,14.070
1440.26,0.4485,14.196
1457.59,0.4497,14.322
1475.13,0.4497,14.447
1492.88,0.4497,14.447
1510.85,0.4472,14.573
1529.03,0.4460,14.573
1547.43,0.4447,14.698
1566.05,0.4447,14.698
1584.89,0.4410,14.824
1603.96,0.4410,14.950
1623.27,0.4397,14.950
1642.8,0.4384,15.075
1662.57,0.4372,15.201
1682.57,0.4347,15.201
1702.82,0.4322,15.201
1723.31,0.4296,15.452
1744.05,0.4296,15.452
1765.03,0.4271,15.704
1786.27,0.4259,15.578
1807.77,0.4234,15.704
1829.52,0.4221,15.829
1851.54,0.4234,15.829
1873.82,0.4234,15.955
1896.37,0.4221,15.955
1919.19,0.4221,15.955
1942.28,0.4196,16.080
1965.65,0.4196,16.080
1989.3,0.4171,16.080
2013.24,0.4158,16.080
2037.47,0.4158,16.080
2061.99,0.4146,16.206
2086.8,0.4146,16.206
2111.91,0.4133,16.332
2137.32,0.4133,16.332
2163.04,0.4095,16.332
2189.07,0.4108,16.332
2215.41,0.4083,16.332
2242.07,0.4070,16.332
2269.05,0.4070,16.332
2296.35,0.4033,16.332
2323.99,0.4045,16.332
2351.95,0.4033,16.332
2380.25,0.4008,16.332
2408.9,0.4008,16.332
2437.88,0.4008,16.332
2467.22,0.3995,16.332
2496.91,0.3982,16.332
2526.95,0.3970,16.332
2557.36,0.3970,16.332
2588.14,0.3957,16.332
2619.28,0.3957,16.332
2650.8,0.3932,16.332
2682.7,0.3907,16.457
2714.98,0.3920,16.457
2747.65,0.3920,16.457
2780.71,0.3920,16.457
2814.17,0.3907,16.457
2848.04,0.3894,16.457
2882.31,0.3882,16.583
2916.99,0.3882,16.583
2952.09,0.3869,16.583
2987.62,0.3869,16.583
3023.57,0.3857,16.583
3059.95,0.3857,16.583
3096.77,0.3869,16.583
3134.04,0.3857,16.583
3171.75,0.3857,16.583
3209.91,0.3857,16.583
3248.54,0.3857,16.583
3287.63,0.3832,16.583
3327.19,0.3832,16.583
3367.23,0.3819,16.583
