[parallel] 202 casos em 6 workers
  [143/202] li2022marstruc_creep_10kN_Ra0p078_min      mae=0.0014
  [144/202] li2022marstruc_creep_10kN_Ra0p306_min      mae=0.003
  [145/202] li2022marstruc_creep_10kN_Ra0p122_min      mae=0.0011
  [146/202] li2022marstruc_creep_5kN_Ra0p8_min         mae=0.0079
  [147/202] UFU_5A_preload_decay                       mae=0.0523
  [148/202] li2022marstruc_creep_15kN_Ra0p8_min        mae=0.0037
  [149/202] UFU_13A_def_preload_decay                  mae=0.0516
  [150/202] chu2026ti_D1p0mm_F0_49kN_test6_repeat      mae=0.0266
  [151/202] rousseau2025_hdpe_t10                      mae=0.0579
  [152/202] karlsen2022_M42_HV_run21p0                 mae=0.0374
  [153/202] 10_Yang_2023_phenomenological_model__0_30_ mae=0.1292
  [154/202] rousseau2025_hdpe_t12                      mae=0.0642
  [155/202] rousseau2025_hdpe_t14                      mae=0.0441
  [156/202] karlsen2022_M42_HV_run20p0                 mae=0.0155
  [157/202] karlsen2022_M30_HV_run6p2                  mae=0.0314
  [158/202] karlsen2022_M30_HV_run1p2                  mae=0.0603
  [159/202] chu2026ti_D1p0mm_F0_49kN_test5             mae=0.0402
  [160/202] karlsen2022_M30_HVtorqued_run14p2          mae=0.0898
  [161/202] bauer2024_M8_fig6_rep5                     mae=0.0494
  [162/202] bauer2024_M8_fig6_rep6                     mae=0.0757
  [163/202] UFU_13A_first_preload_decay                mae=0.0962
  [164/202] bauer2024_M8_fig6_rep4                     mae=0.0783
  [165/202] karlsen2022_M30_HV_run2p2                  mae=0.0488
  [166/202] bauer2024_M8_fig6_rep3                     mae=0.0336
  [167/202] demir2024_amp0p3_F17p6_lk13p8              mae=0.0422
  [168/202] demir2024_amp0p3_F17p6_lk19p8              mae=0.0353
  [169/202] demir2024_amp0p4_F17p6_lk13p8              mae=0.0313
  [170/202] 10_Yang_2023_phenomenological_model__0_45_ mae=0.1043
  [171/202] demir2024_amp0p4_F17p6_lk19p8              mae=0.0276
  [172/202] karlsen2022_M30_HV_run7p1                  mae=0.041
  [173/202] bauer2024_M8_fig6_rep2                     mae=0.042
  [174/202] demir2024_amp0p3_F14p3_lk19p8              mae=0.0438
  [175/202] rousseau2025_steel_t14                     mae=0.02
  [176/202] rousseau2025_steel_t10                     mae=0.0866
  [177/202] rousseau2025_steel_t12                     mae=0.0462
  [178/202] demir2024_amp0p4_F14p3_lk19p8              mae=0.0159
  [179/202] demir2024_amp0p3_F14p3_lk13p8              mae=0.0411
  [180/202] jcsr2023_plain_indoor                      mae=0.0009
  [181/202] bauer2024_M8_fig6_rep1                     mae=0.0431
  [182/202] jcsr2023_plain_outdoor                     mae=0.0621
  [183/202] demir2024_amp0p4_F14p3_lk13p8              mae=0.0151
  [184/202] 10_Yang_2023_phenomenological_model__0_55_ mae=0.1188
  [185/202] lu2024_M8_fig18_amp0p25                    mae=0.1438
  [186/202] lu2024_M8_fig18_amp0p5                     mae=0.0613
  [187/202] lu2024_M8_fig18_amp1p0                     mae=0.1016
  [188/202] liu2022_fig8_multi_t4                      mae=0.0371
  [189/202] lu2024_M8_fig18_amp1p5                     mae=0.1074
  [190/202] lu2024_M8_fig20_T4Nm                       mae=0.1073
  [191/202] lu2024_M8_fig20_T22Nm                      mae=0.0517
  [192/202] lu2024_M8_fig20_T10Nm                      mae=0.123
  [193/202] lu2024_M8_fig20_T16Nm                      mae=0.0352
  [194/202] jcsr2023_plain_seawater                    mae=0.0289
  [195/202] lu2024_M8_fig20_T28Nm                      mae=0.0411
  [196/202] jcsr2023_galv_seawater                     mae=0.039
  [197/202] 10_Yang_2023_phenomenological_model__0_65_ mae=0.0824
  [198/202] jcsr2023_stainless_seawater                mae=0.0619
  [199/202] 10_Yang_2023_phenomenological_model__0_50_ mae=0.1559
  [200/202] grzejda2026mat_bolt1_base                  mae=0.0342
  [201/202] lu2024_M8_fig18_amp2p0                     mae=0.1146
  [202/202] grzejda2026mat_bolt6_central               mae=0.0359
[BAUER_2024] n=9 mediana=0.0431
[CACCESE_2009] n=7 mediana=0.0179
[CHU_2026] n=9 mediana=0.1043
[ECCLES_2010] n=10 mediana=0.0433
[GRZEJDA_2026] n=2 mediana=0.0351
[ICMEZ_2025] n=8 mediana=0.0333
[JCSR_2023] n=5 mediana=0.0390
